year,crop,region,acres harvested,acres planted,production,yield
2016,corn,usa,,93601000,,
2015,corn,usa,80749000,87999000,761667088000,4.28
2014,corn,usa,83136000,90597000,796069792000,4.34
2013,corn,usa,87451000,95365000,774421984000,4.02
2012,corn,usa,87365000,97291000,602286216000,3.13
2011,corn,usa,83879000,91936000,689581536000,3.73
2010,corn,usa,81446000,88192000,695818480000,3.88
2009,corn,usa,79490000,86382000,731760736000,4.18
2008,corn,usa,78570000,85982000,674419368000,3.89
2007,corn,usa,86520000,93527000,730121000000,3.83
2006,corn,usa,70638000,78327000,589742888000,3.79
2005,corn,usa,75117000,81779000,622282472000,3.76
2004,corn,usa,73631000,80929000,661112536000,4.07
2003,corn,usa,70944000,78603000,564888352000,3.61
2002,corn,usa,69330000,78894000,502140072000,3.28
2001,corn,usa,68768000,75702000,532144480000,3.51
2000,corn,usa,72440000,79551000,555242856000,3.48
1999,corn,usa,70487000,77386000,528114272000,3.40
1998,corn,usa,72589000,80165000,546486360000,3.41
1997,corn,usa,72671000,79537000,515582592000,3.22
1996,corn,usa,72644000,79229000,517023192000,3.23
1995,corn,usa,65210000,71479000,414402856000,2.88
1994,corn,usa,72514000,78921000,562829120000,3.52
1993,corn,usa,62933000,73239000,354912880000,2.56
1992,corn,usa,72077000,79311000,530695088000,3.34
1991,corn,usa,68822000,75957000,418586840000,2.76
1990,corn,usa,66952000,74166000,444305568000,3.01
1989,corn,usa,64783000,72322000,421789368000,2.95
1988,corn,usa,58250000,67717000,276006136000,2.15
1987,corn,usa,59505000,66200000,399352800000,3.04
1986,corn,usa,68907000,76580000,460642784000,3.03
1985,corn,usa,75209000,83398000,497025368000,3.00
1984,corn,usa,71897000,80517000,429639280000,2.71
1983,corn,usa,51479000,60207000,233758056000,2.06
1982,corn,usa,72719000,81857000,461165656000,2.88
1981,corn,usa,74524000,84097000,454644400000,2.77
1980,corn,usa,72961000,84043000,371806176000,2.31
1979,corn,usa,72400000,81394000,443975784000,2.78
1978,corn,usa,71930000,81675000,407003912000,2.57
1977,corn,usa,71614000,84328000,364282296000,2.31
1976,corn,usa,71506000,84588000,352193464000,2.24
1975,corn,usa,67625000,78719000,327082392000,2.19
1974,corn,usa,65405000,77935000,263278512000,1.83
1973,corn,usa,62143000,72253000,317559872000,2.32
1972,corn,usa,57513000,67126000,312470592000,2.46
1971,corn,usa,64123000,74179000,316190560000,2.24
1970,corn,usa,57358000,66863000,232525608000,1.84
1969,corn,usa,54574000,64264000,262475192000,2.18
1968,corn,usa,55980000,65126000,249174352000,2.02
1967,corn,usa,60694000,71156000,272180832000,2.03
1966,corn,usa,57002000,66347000,233386048000,1.86
1965,corn,usa,55392000,65171000,229760552000,1.88
1964,corn,usa,55369000,65823000,195118168000,1.60
1963,corn,usa,59227000,68771000,225077328000,1.72
1962,corn,usa,55726000,65017000,201953416000,1.64
1961,corn,usa,57634000,65919000,201476968000,1.59
1960,corn,usa,71422000,81425000,218789144000,1.39
1959,corn,usa,72091000,82742000,214177488000,1.35
1958,corn,usa,63549000,73351000,187947480000,1.34
1957,corn,usa,63065000,73180000,170539880000,1.23
1956,corn,usa,64877000,77828000,172218816000,1.20
1955,corn,usa,68462000,80932000,160885704000,1.07
1954,corn,usa,68668000,82185000,151643128000,1.00
1953,corn,usa,70738000,81574000,161380856000,1.03
1952,corn,usa,71353000,82230000,166924408000,1.06
1951,corn,usa,71191000,83275000,147220472000,0.94
1950,corn,usa,72398000,82859000,154787976000,0.97
1949,corn,usa,77106000,86738000,164987536000,0.97
1948,corn,usa,76840000,85522000,185194128000,1.09
1947,corn,usa,73802000,85038000,118065920000,0.73
1946,corn,usa,78410000,88898000,163300984000,0.94
1945,corn,usa,77928000,89261000,144337144000,0.84
1944,corn,usa,85002000,95475000,156890272000,0.84
1943,corn,usa,81906000,94341000,149435440000,0.83
1942,corn,usa,79213000,88818000,156901864000,0.90
1941,corn,usa,77404000,86837000,135208920000,0.79
1940,corn,usa,76443000,88692000,123585392000,0.73
1939,corn,usa,78307000,91639000,131129712000,0.76
1938,corn,usa,82788000,94473000,128805320000,0.71
1937,corn,usa,81222000,97174000,131567800000,0.73
1936,corn,usa,67833000,101959000,70485688000,0.47
1935,corn,usa,82551000,99974000,112076552000,0.61
1934,corn,usa,61245000,100563000,64217104000,0.48
1933,corn,usa,92130000,109830000,117864600000,0.58
1932,corn,usa,97213000,113024000,144406360000,0.67
1931,corn,usa,91131000,109364000,124874568000,0.62
1930,corn,usa,85525000,103915000,98408632000,0.52
1929,corn,usa,83194000,99130000,119562128000,0.65
1928,corn,usa,85832000,100399000,126615440000,0.67
1927,corn,usa,83915000,98460000,124218584000,0.67
1926,corn,usa,83275000,99660000,119851592000,0.65
1925,corn,usa,86825000,,133408128000,0.70
1924,corn,usa,84119000,,104166272000,0.56
1923,corn,usa,87493000,,136054856000,0.71
1922,corn,usa,84858000,,124851776000,0.67
1921,corn,usa,91939000,,143187744000,0.71
